"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-32B - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-14B - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-4B - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-0.6B - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_starts_and_ends/mean__MAX"
"0.42","","","","","","","","","","","","","2750","2750","2750","0.425","0.425","0.425","2750","2750","2750","0.65","0.65","0.65","","","","","","","","","","","","","2750","2750","2750","0.825","0.825","0.825","2750","2750","2750","0.1","0.1","0.1"
"0.44","","","","","","","1440","1440","1440","0.875","0.875","0.875","2881","2881","2881","0.575","0.575","0.575","2881","2881","2881","0.975","0.975","0.975","","","","","","","1440","1440","1440","0.8375","0.8375","0.8375","2881","2881","2881","0.975","0.975","0.975","2881","2881","2881","0.125","0.125","0.125"
"0.46","","","","","","","","","","","","","3012","3012","3012","0.425","0.425","0.425","3012","3012","3012","0.8","0.8","0.8","","","","","","","","","","","","","3012","3012","3012","0.775","0.775","0.775","3012","3012","3012","0.075","0.075","0.075"
"0.47904191616766467","1047","1047","1047","0.9","0.9","0.9","","","","","","","","","","","","","","","","","","","1047","1047","1047","0.9833333373069764","0.9833333373069764","0.9833333373069764","","","","","","","","","","","","","","","","","",""
"0.48","","","","","","","1571","1571","1571","0.925","0.925","0.925","3143","3143","3143","0.325","0.325","0.325","3143","3143","3143","0.825","0.825","0.825","","","","","","","1571","1571","1571","0.9","0.9","0.9","3143","3143","3143","0.9","0.9","0.9","3143","3143","3143","0.1","0.1","0.1"
"0.5","","","","","","","","","","","","","3274","3274","3274","0.45","0.45","0.45","3274","3274","3274","0.625","0.625","0.625","","","","","","","","","","","","","3274","3274","3274","0.65","0.65","0.65","3274","3274","3274","0.1","0.1","0.1"
"0.52","","","","","","","1702","1702","1702","0.7","0.7","0.7","3405","3405","3405","0.475","0.475","0.475","3405","3405","3405","0.85","0.85","0.85","","","","","","","1702","1702","1702","0.775","0.775","0.775","3405","3405","3405","0.825","0.825","0.825","3405","3405","3405","0.15","0.15","0.15"
"0.5389221556886228","1178","1178","1178","0.8249999970197678","0.8249999970197678","0.8249999970197678","","","","","","","","","","","","","","","","","","","1178","1178","1178","0.8666666716337204","0.8666666716337204","0.8666666716337204","","","","","","","","","","","","","","","","","",""
"0.54","","","","","","","","","","","","","3536","3536","3536","0.4","0.4","0.4","3536","3536","3536","0.875","0.875","0.875","","","","","","","","","","","","","3536","3536","3536","0.9","0.9","0.9","3536","3536","3536","0.2","0.2","0.2"
"0.56","","","","","","","1833","1833","1833","0.8875","0.8875","0.8875","3667","3667","3667","0.45","0.45","0.45","3667","3667","3667","0.925","0.925","0.925","","","","","","","1833","1833","1833","0.8875","0.8875","0.8875","3667","3667","3667","0.95","0.95","0.95","3667","3667","3667","0.1","0.1","0.1"
"0.58","","","","","","","","","","","","","3798","3798","3798","0.325","0.325","0.325","3798","3798","3798","0.8","0.8","0.8","","","","","","","","","","","","","3798","3798","3798","0.8","0.8","0.8","3798","3798","3798","0.075","0.075","0.075"
