"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-32B - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-14B - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-4B - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-0.6B - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_perfect_solution/mean__MAX"
"0.44","","","","","","","1440","1440","1440","0.1125","0.1125","0.1125","2881","2881","2881","0","0","0","2881","2881","2881","0","0","0","","","","","","","1440","1440","1440","0.125","0.125","0.125","2881","2881","2881","0","0","0","2881","2881","2881","0","0","0"
"0.46","","","","","","","","","","","","","3012","3012","3012","0","0","0","3012","3012","3012","0.1","0.1","0.1","","","","","","","","","","","","","3012","3012","3012","0.1","0.1","0.1","3012","3012","3012","0","0","0"
"0.47904191616766467","1047","1047","1047","0.05833333432674408","0.05833333432674408","0.05833333432674408","","","","","","","","","","","","","","","","","","","1047","1047","1047","0.01666666716337204","0.01666666716337204","0.01666666716337204","","","","","","","","","","","","","","","","","",""
"0.48","","","","","","","1571","1571","1571","0.075","0.075","0.075","3143","3143","3143","0","0","0","3143","3143","3143","0.075","0.075","0.075","","","","","","","1571","1571","1571","0.1","0.1","0.1","3143","3143","3143","0.05","0.05","0.05","3143","3143","3143","0","0","0"
"0.5","","","","","","","","","","","","","3274","3274","3274","0.1","0.1","0.1","3274","3274","3274","0.25","0.25","0.25","","","","","","","","","","","","","3274","3274","3274","0.275","0.275","0.275","3274","3274","3274","0.05","0.05","0.05"
"0.52","","","","","","","1702","1702","1702","0.275","0.275","0.275","3405","3405","3405","0","0","0","3405","3405","3405","0.1","0.1","0.1","","","","","","","1702","1702","1702","0.2125","0.2125","0.2125","3405","3405","3405","0.15","0.15","0.15","3405","3405","3405","0","0","0"
"0.5389221556886228","1178","1178","1178","0.13333333730697633","0.13333333730697633","0.13333333730697633","","","","","","","","","","","","","","","","","","","1178","1178","1178","0.11666667014360428","0.11666667014360428","0.11666667014360428","","","","","","","","","","","","","","","","","",""
"0.54","","","","","","","","","","","","","3536","3536","3536","0","0","0","3536","3536","3536","0","0","0","","","","","","","","","","","","","3536","3536","3536","0.025","0.025","0.025","3536","3536","3536","0","0","0"
"0.56","","","","","","","1833","1833","1833","0.1125","0.1125","0.1125","3667","3667","3667","0","0","0","3667","3667","3667","0.025","0.025","0.025","","","","","","","1833","1833","1833","0.1","0.1","0.1","3667","3667","3667","0.05","0.05","0.05","3667","3667","3667","0","0","0"
"0.58","","","","","","","","","","","","","3798","3798","3798","0","0","0","3798","3798","3798","0.2","0.2","0.2","","","","","","","","","","","","","3798","3798","3798","0.2","0.2","0.2","3798","3798","3798","0","0","0"
"0.5988023952095808","1309","1309","1309","0.1500000014901161","0.1500000014901161","0.1500000014901161","","","","","","","","","","","","","","","","","","","1309","1309","1309","0.09166666716337205","0.09166666716337205","0.09166666716337205","","","","","","","","","","","","","","","","","",""
"0.6","","","","","","","1964","1964","1964","0.1375","0.1375","0.1375","3929","3929","3929","0","0","0","3929","3929","3929","0.1","0.1","0.1","","","","","","","1964","1964","1964","0.1375","0.1375","0.1375","3929","3929","3929","0.1","0.1","0.1","3929","3929","3929","0","0","0"
