"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-32B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-14B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-4B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-0.6B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_no_rule_crossing/mean__MAX"
"0.44","","","","","","","1440","1440","1440","0.775","0.775","0.775","2881","2881","2881","0.85","0.85","0.85","2881","2881","2881","0.625","0.625","0.625","","","","","","","1440","1440","1440","0.725","0.725","0.725","2881","2881","2881","0.95","0.95","0.95","2881","2881","2881","0.975","0.975","0.975"
"0.46","","","","","","","","","","","","","3012","3012","3012","0.85","0.85","0.85","3012","3012","3012","0.5","0.5","0.5","","","","","","","","","","","","","3012","3012","3012","0.85","0.85","0.85","3012","3012","3012","0.975","0.975","0.975"
"0.47904191616766467","1047","1047","1047","0.8833333432674408","0.8833333432674408","0.8833333432674408","","","","","","","","","","","","","","","","","","","1047","1047","1047","0.9083333313465118","0.9083333313465118","0.9083333313465118","","","","","","","","","","","","","","","","","",""
"0.48","","","","","","","1571","1571","1571","0.825","0.825","0.825","3143","3143","3143","0.9","0.9","0.9","3143","3143","3143","0.55","0.55","0.55","","","","","","","1571","1571","1571","0.8125","0.8125","0.8125","3143","3143","3143","0.875","0.875","0.875","3143","3143","3143","0.925","0.925","0.925"
"0.5","","","","","","","","","","","","","3274","3274","3274","0.825","0.825","0.825","3274","3274","3274","0.3","0.3","0.3","","","","","","","","","","","","","3274","3274","3274","0.6","0.6","0.6","3274","3274","3274","0.925","0.925","0.925"
"0.52","","","","","","","1702","1702","1702","0.6125","0.6125","0.6125","3405","3405","3405","0.725","0.725","0.725","3405","3405","3405","0.4","0.4","0.4","","","","","","","1702","1702","1702","0.625","0.625","0.625","3405","3405","3405","0.8","0.8","0.8","3405","3405","3405","1","1","1"
"0.5389221556886228","1178","1178","1178","0.775","0.775","0.775","","","","","","","","","","","","","","","","","","","1178","1178","1178","0.8000000059604645","0.8000000059604645","0.8000000059604645","","","","","","","","","","","","","","","","","",""
"0.54","","","","","","","","","","","","","3536","3536","3536","0.85","0.85","0.85","3536","3536","3536","0.45","0.45","0.45","","","","","","","","","","","","","3536","3536","3536","0.875","0.875","0.875","3536","3536","3536","0.925","0.925","0.925"
"0.56","","","","","","","1833","1833","1833","0.8125","0.8125","0.8125","3667","3667","3667","0.95","0.95","0.95","3667","3667","3667","0.65","0.65","0.65","","","","","","","1833","1833","1833","0.7125","0.7125","0.7125","3667","3667","3667","0.775","0.775","0.775","3667","3667","3667","0.975","0.975","0.975"
"0.58","","","","","","","","","","","","","3798","3798","3798","0.85","0.85","0.85","3798","3798","3798","0.675","0.675","0.675","","","","","","","","","","","","","3798","3798","3798","0.725","0.725","0.725","3798","3798","3798","0.975","0.975","0.975"
"0.5988023952095808","1309","1309","1309","0.7916666656732559","0.7916666656732559","0.7916666656732559","","","","","","","","","","","","","","","","","","","1309","1309","1309","0.85","0.85","0.85","","","","","","","","","","","","","","","","","",""
