"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_format_hint/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_format_hint/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_format_hint/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_format_hint/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_format_hint/mean","Qwen/Qwen3-32B - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_format_hint/mean","Qwen/Qwen3-14B - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_format_hint/mean","Qwen/Qwen3-4B - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_format_hint/mean","Qwen/Qwen3-0.6B - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_format_hint/mean__MAX"
"0.47904191616766467","1047","1047","1047","0.20833333656191827","0.20833333656191827","0.20833333656191827","","","","","","","","","","","","","","","","","","","1047","1047","1047","0.1250000014901161","0.1250000014901161","0.1250000014901161","","","","","","","","","","","","","","","","","",""
"0.48","","","","","","","1571","1571","1571","0.6","0.6","0.6","3143","3143","3143","1","1","1","3143","3143","3143","0.9","0.9","0.9","","","","","","","1571","1571","1571","0.8375","0.8375","0.8375","3143","3143","3143","0.9","0.9","0.9","3143","3143","3143","1","1","1"
"0.5","","","","","","","","","","","","","3274","3274","3274","0.9","0.9","0.9","3274","3274","3274","0.75","0.75","0.75","","","","","","","","","","","","","3274","3274","3274","0.625","0.625","0.625","3274","3274","3274","0.95","0.95","0.95"
"0.52","","","","","","","1702","1702","1702","0.55","0.55","0.55","3405","3405","3405","1","1","1","3405","3405","3405","0.9","0.9","0.9","","","","","","","1702","1702","1702","0.7375","0.7375","0.7375","3405","3405","3405","0.7","0.7","0.7","3405","3405","3405","0.975","0.975","0.975"
"0.5389221556886228","1178","1178","1178","0.2083333358168602","0.2083333358168602","0.2083333358168602","","","","","","","","","","","","","","","","","","","1178","1178","1178","0.1250000037252903","0.1250000037252903","0.1250000037252903","","","","","","","","","","","","","","","","","",""
"0.54","","","","","","","","","","","","","3536","3536","3536","1","1","1","3536","3536","3536","0.975","0.975","0.975","","","","","","","","","","","","","3536","3536","3536","0.725","0.725","0.725","3536","3536","3536","1","1","1"
"0.56","","","","","","","1833","1833","1833","0.5375","0.5375","0.5375","3667","3667","3667","1","1","1","3667","3667","3667","0.975","0.975","0.975","","","","","","","1833","1833","1833","0.8","0.8","0.8","3667","3667","3667","0.875","0.875","0.875","3667","3667","3667","1","1","1"
"0.58","","","","","","","","","","","","","3798","3798","3798","1","1","1","3798","3798","3798","0.8","0.8","0.8","","","","","","","","","","","","","3798","3798","3798","0.8","0.8","0.8","3798","3798","3798","1","1","1"
"0.5988023952095808","1309","1309","1309","0.23333333507180215","0.23333333507180215","0.23333333507180215","","","","","","","","","","","","","","","","","","","1309","1309","1309","0.10000000223517418","0.10000000223517418","0.10000000223517418","","","","","","","","","","","","","","","","","",""
"0.6","","","","","","","1964","1964","1964","0.5375","0.5375","0.5375","3929","3929","3929","1","1","1","3929","3929","3929","0.9","0.9","0.9","","","","","","","1964","1964","1964","0.75","0.75","0.75","3929","3929","3929","0.9","0.9","0.9","3929","3929","3929","1","1","1"
"0.62","","","","","","","","","","","","","4060","4060","4060","1","1","1","4060","4060","4060","1","1","1","","","","","","","","","","","","","4060","4060","4060","1","1","1","4060","4060","4060","1","1","1"
"0.64","","","","","","","2095","2095","2095","0.55","0.55","0.55","4191","4191","4191","0.95","0.95","0.95","4191","4191","4191","0.95","0.95","0.95","","","","","","","2095","2095","2095","0.825","0.825","0.825","4191","4191","4191","0.875","0.875","0.875","4191","4191","4191","1","1","1"
"0.6586826347305389","1440","1440","1440","0.2583333350718021","0.2583333350718021","0.2583333350718021","","","","","","","","","","","","","","","","","","","1440","1440","1440","0.15000000298023225","0.15000000298023225","0.15000000298023225","","","","","","","","","","","","","","","","","",""
"0.66","","","","","","","","","","","","","4322","4322","4322","1","1","1","4322","4322","4322","0.95","0.95","0.95","","","","","","","","","","","","","4322","4322","4322","0.9","0.9","0.9","4322","4322","4322","1","1","1"
"0.68","","","","","","","2226","2226","2226","0.5125","0.5125","0.5125","4453","4453","4453","1","1","1","4453","4453","4453","1","1","1","","","","","","","2226","2226","2226","0.8625","0.8625","0.8625","4453","4453","4453","1","1","1","4453","4453","4453","1","1","1"
"0.7","","","","","","","","","","","","","4584","4584","4584","1","1","1","4584","4584","4584","0.95","0.95","0.95","","","","","","","","","","","","","4584","4584","4584","0.9","0.9","0.9","4584","4584","4584","0.975","0.975","0.975"
"0.718562874251497","1571","1571","1571","0.29166666716337203","0.29166666716337203","0.29166666716337203","","","","","","","","","","","","","","","","","","","1571","1571","1571","0.21666667088866234","0.21666667088866234","0.21666667088866234","","","","","","","","","","","","","","","","","",""
"0.72","","","","","","","2357","2357","2357","0.55","0.55","0.55","4715","4715","4715","0.975","0.975","0.975","4715","4715","4715","0.975","0.975","0.975","","","","","","","2357","2357","2357","0.8875","0.8875","0.8875","4715","4715","4715","0.9","0.9","0.9","4715","4715","4715","1","1","1"
"0.74","","","","","","","","","","","","","4846","4846","4846","0.925","0.925","0.925","4846","4846","4846","0.9","0.9","0.9","","","","","","","","","","","","","4846","4846","4846","0.9","0.9","0.9","4846","4846","4846","0.925","0.925","0.925"
"0.76","","","","","","","2488","2488","2488","0.5375","0.5375","0.5375","4977","4977","4977","1","1","1","4977","4977","4977","0.975","0.975","0.975","","","","","","","2488","2488","2488","0.8875","0.8875","0.8875","4977","4977","4977","1","1","1","4977","4977","4977","1","1","1"
"0.7784431137724551","1702","1702","1702","0.35833333134651185","0.35833333134651185","0.35833333134651185","","","","","","","","","","","","","","","","","","","1702","1702","1702","0.33333333060145376","0.33333333060145376","0.33333333060145376","","","","","","","","","","","","","","","","","",""
"0.78","","","","","","","","","","","","","5108","5108","5108","1","1","1","5108","5108","5108","0.975","0.975","0.975","","","","","","","","","","","","","5108","5108","5108","0.95","0.95","0.95","5108","5108","5108","1","1","1"
"0.8","","","","","","","2619","2619","2619","0.7125","0.7125","0.7125","5239","5239","5239","0.975","0.975","0.975","5239","5239","5239","0.95","0.95","0.95","","","","","","","2619","2619","2619","0.9625","0.9625","0.9625","5239","5239","5239","1","1","1","5239","5239","5239","0.925","0.925","0.925"
"0.82","","","","","","","","","","","","","5370","5370","5370","0.925","0.925","0.925","5370","5370","5370","0.775","0.775","0.775","","","","","","","","","","","","","5370","5370","5370","0.875","0.875","0.875","5370","5370","5370","0.875","0.875","0.875"
"0.8383233532934131","1833","1833","1833","0.4249999985098839","0.4249999985098839","0.4249999985098839","","","","","","","","","","","","","","","","","","","1833","1833","1833","0.43333333134651186","0.43333333134651186","0.43333333134651186","","","","","","","","","","","","","","","","","",""
"0.84","","","","","","","2750","2750","2750","0.6875","0.6875","0.6875","5501","5501","5501","1","1","1","5501","5501","5501","0.975","0.975","0.975","","","","","","","2750","2750","2750","0.8875","0.8875","0.8875","5501","5501","5501","1","1","1","5501","5501","5501","1","1","1"
"0.86","","","","","","","","","","","","","5632","5632","5632","1","1","1","5632","5632","5632","0.825","0.825","0.825","","","","","","","","","","","","","5632","5632","5632","0.95","0.95","0.95","5632","5632","5632","1","1","1"
"0.88","","","","","","","2881","2881","2881","0.5375","0.5375","0.5375","5763","5763","5763","1","1","1","5763","5763","5763","0.95","0.95","0.95","","","","","","","2881","2881","2881","0.8875","0.8875","0.8875","5763","5763","5763","1","1","1","5763","5763","5763","1","1","1"
"0.8982035928143712","1964","1964","1964","0.3499999977648258","0.3499999977648258","0.3499999977648258","","","","","","","","","","","","","","","","","","","1964","1964","1964","0.35833333283662794","0.35833333283662794","0.35833333283662794","","","","","","","","","","","","","","","","","",""
"0.9","","","","","","","","","","","","","5894","5894","5894","1","1","1","5894","5894","5894","0.925","0.925","0.925","","","","","","","","","","","","","5894","5894","5894","0.95","0.95","0.95","5894","5894","5894","1","1","1"
"0.92","","","","","","","3012","3012","3012","0.6125","0.6125","0.6125","6025","6025","6025","1","1","1","6025","6025","6025","0.95","0.95","0.95","","","","","","","3012","3012","3012","0.925","0.925","0.925","6025","6025","6025","1","1","1","6025","6025","6025","1","1","1"
"0.94","","","","","","","","","","","","","6156","6156","6156","1","1","1","6156","6156","6156","0.8","0.8","0.8","","","","","","","","","","","","","6156","6156","6156","0.975","0.975","0.975","6156","6156","6156","1","1","1"
"0.9580838323353293","2095","2095","2095","0.3750000037252903","0.3750000037252903","0.3750000037252903","","","","","","","","","","","","","","","","","","","2095","2095","2095","0.4916666716337204","0.4916666716337204","0.4916666716337204","","","","","","","","","","","","","","","","","",""
"0.96","","","","","","","3143","3143","3143","0.5625","0.5625","0.5625","6287","6287","6287","1","1","1","6287","6287","6287","0.8","0.8","0.8","","","","","","","3143","3143","3143","0.8625","0.8625","0.8625","6287","6287","6287","0.925","0.925","0.925","6287","6287","6287","1","1","1"
"0.98","","","","","","","","","","","","","6418","6418","6418","1","1","1","6418","6418","6418","0.85","0.85","0.85","","","","","","","","","","","","","6418","6418","6418","1","1","1","6418","6418","6418","1","1","1"
"1","","","","","","","3274","3274","3274","0.7125","0.7125","0.7125","6549","6549","6549","1","1","1","6549","6549","6549","0.775","0.775","0.775","","","","","","","3274","3274","3274","0.925","0.925","0.925","6549","6549","6549","0.9","0.9","0.9","6549","6549","6549","1","1","1"
"1.02","","","","","","","","","","","","","6680","6680","6680","0.95","0.95","0.95","6680","6680","6680","0.875","0.875","0.875","","","","","","","","","","","","","6680","6680","6680","0.9","0.9","0.9","6680","6680","6680","0.925","0.925","0.925"
"1.0239520958083832","2226","2226","2226","0.4583333358168602","0.4583333358168602","0.4583333358168602","","","","","","","","","","","","","","","","","","","2226","2226","2226","0.6583333373069763","0.6583333373069763","0.6583333373069763","","","","","","","","","","","","","","","","","",""
"1.04","","","","","","","3405","3405","3405","0.725","0.725","0.725","6811","6811","6811","0.975","0.975","0.975","6811","6811","6811","0.925","0.925","0.925","","","","","","","3405","3405","3405","0.925","0.925","0.925","6811","6811","6811","1","1","1","6811","6811","6811","1","1","1"
"1.06","","","","","","","","","","","","","6942","6942","6942","1","1","1","6942","6942","6942","0.8","0.8","0.8","","","","","","","","","","","","","6942","6942","6942","0.925","0.925","0.925","6942","6942","6942","1","1","1"
"1.08","","","","","","","3536","3536","3536","0.6625","0.6625","0.6625","7073","7073","7073","1","1","1","7073","7073","7073","0.95","0.95","0.95","","","","","","","3536","3536","3536","0.925","0.925","0.925","7073","7073","7073","1","1","1","7073","7073","7073","1","1","1"
"1.0838323353293413","2357","2357","2357","0.47499999925494196","0.47499999925494196","0.47499999925494196","","","","","","","","","","","","","","","","","","","2357","2357","2357","0.6333333373069763","0.6333333373069763","0.6333333373069763","","","","","","","","","","","","","","","","","",""
"1.1","","","","","","","","","","","","","7204","7204","7204","0.9","0.9","0.9","7204","7204","7204","0.9","0.9","0.9","","","","","","","","","","","","","7204","7204","7204","0.9","0.9","0.9","7204","7204","7204","0.875","0.875","0.875"
"1.12","","","","","","","3667","3667","3667","0.625","0.625","0.625","7335","7335","7335","0.925","0.925","0.925","7335","7335","7335","0.8","0.8","0.8","","","","","","","3667","3667","3667","0.875","0.875","0.875","7335","7335","7335","0.9","0.9","0.9","7335","7335","7335","0.9","0.9","0.9"
"1.1400000000000001","","","","","","","","","","","","","7466","7466","7466","1","1","1","7466","7466","7466","0.75","0.75","0.75","","","","","","","","","","","","","7466","7466","7466","0.95","0.95","0.95","7466","7466","7466","1","1","1"
"1.1437125748502994","2488","2488","2488","0.3833333283662796","0.3833333283662796","0.3833333283662796","","","","","","","","","","","","","","","","","","","2488","2488","2488","0.5000000029802323","0.5000000029802323","0.5000000029802323","","","","","","","","","","","","","","","","","",""
"1.16","","","","","","","3798","3798","3798","0.5","0.5","0.5","7597","7597","7597","1","1","1","7597","7597","7597","0.675","0.675","0.675","","","","","","","3798","3798","3798","0.875","0.875","0.875","7597","7597","7597","0.875","0.875","0.875","7597","7597","7597","0.95","0.95","0.95"
"1.18","","","","","","","","","","","","","7728","7728","7728","1","1","1","7728","7728","7728","0.9","0.9","0.9","","","","","","","","","","","","","7728","7728","7728","1","1","1","7728","7728","7728","1","1","1"
"1.2","","","","","","","3929","3929","3929","0.625","0.625","0.625","7859","7859","7859","1","1","1","7859","7859","7859","0.825","0.825","0.825","","","","","","","3929","3929","3929","0.9","0.9","0.9","7859","7859","7859","1","1","1","7859","7859","7859","1","1","1"
"1.2035928143712575","2619","2619","2619","0.3416666708886623","0.3416666708886623","0.3416666708886623","","","","","","","","","","","","","","","","","","","2619","2619","2619","0.425","0.425","0.425","","","","","","","","","","","","","","","","","",""
"1.22","","","","","","","","","","","","","7990","7990","7990","1","1","1","7990","7990","7990","0.85","0.85","0.85","","","","","","","","","","","","","7990","7990","7990","1","1","1","7990","7990","7990","1","1","1"
"1.24","","","","","","","4060","4060","4060","0.675","0.675","0.675","8121","8121","8121","1","1","1","8121","8121","8121","0.9","0.9","0.9","","","","","","","4060","4060","4060","0.9125","0.9125","0.9125","8121","8121","8121","0.95","0.95","0.95","8121","8121","8121","1","1","1"
