"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_connected_line/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_connected_line/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_connected_line/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_connected_line/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_connected_line/mean","Qwen/Qwen3-32B - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_connected_line/mean","Qwen/Qwen3-14B - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_connected_line/mean","Qwen/Qwen3-4B - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_connected_line/mean","Qwen/Qwen3-0.6B - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_connected_line/mean__MAX"
"0.76","","","","","","","2488","2488","2488","0.5625","0.5625","0.5625","4977","4977","4977","0.75","0.75","0.75","4977","4977","4977","0.85","0.85","0.85","","","","","","","2488","2488","2488","0.8625","0.8625","0.8625","4977","4977","4977","1","1","1","4977","4977","4977","0.95","0.95","0.95"
"0.7784431137724551","1702","1702","1702","0.3333333387970924","0.3333333387970924","0.3333333387970924","","","","","","","","","","","","","","","","","","","1702","1702","1702","0.3583333358168602","0.3583333358168602","0.3583333358168602","","","","","","","","","","","","","","","","","",""
"0.78","","","","","","","","","","","","","5108","5108","5108","0.675","0.675","0.675","5108","5108","5108","0.925","0.925","0.925","","","","","","","","","","","","","5108","5108","5108","0.925","0.925","0.925","5108","5108","5108","0.925","0.925","0.925"
"0.8","","","","","","","2619","2619","2619","0.725","0.725","0.725","5239","5239","5239","0.75","0.75","0.75","5239","5239","5239","0.9","0.9","0.9","","","","","","","2619","2619","2619","0.9","0.9","0.9","5239","5239","5239","1","1","1","5239","5239","5239","0.875","0.875","0.875"
"0.82","","","","","","","","","","","","","5370","5370","5370","0.725","0.725","0.725","5370","5370","5370","0.8","0.8","0.8","","","","","","","","","","","","","5370","5370","5370","0.875","0.875","0.875","5370","5370","5370","0.7","0.7","0.7"
"0.8383233532934131","1833","1833","1833","0.44166665971279145","0.44166665971279145","0.44166665971279145","","","","","","","","","","","","","","","","","","","1833","1833","1833","0.4499999977648258","0.4499999977648258","0.4499999977648258","","","","","","","","","","","","","","","","","",""
"0.84","","","","","","","2750","2750","2750","0.7","0.7","0.7","5501","5501","5501","0.675","0.675","0.675","5501","5501","5501","0.925","0.925","0.925","","","","","","","2750","2750","2750","0.85","0.85","0.85","5501","5501","5501","1","1","1","5501","5501","5501","0.975","0.975","0.975"
"0.86","","","","","","","","","","","","","5632","5632","5632","0.575","0.575","0.575","5632","5632","5632","0.75","0.75","0.75","","","","","","","","","","","","","5632","5632","5632","0.925","0.925","0.925","5632","5632","5632","0.85","0.85","0.85"
"0.88","","","","","","","2881","2881","2881","0.575","0.575","0.575","5763","5763","5763","0.725","0.725","0.725","5763","5763","5763","0.9","0.9","0.9","","","","","","","2881","2881","2881","0.8","0.8","0.8","5763","5763","5763","1","1","1","5763","5763","5763","0.95","0.95","0.95"
"0.8982035928143712","1964","1964","1964","0.3250000007450581","0.3250000007450581","0.3250000007450581","","","","","","","","","","","","","","","","","","","1964","1964","1964","0.31666666492819784","0.31666666492819784","0.31666666492819784","","","","","","","","","","","","","","","","","",""
"0.9","","","","","","","","","","","","","5894","5894","5894","0.7","0.7","0.7","5894","5894","5894","0.9","0.9","0.9","","","","","","","","","","","","","5894","5894","5894","0.925","0.925","0.925","5894","5894","5894","0.9","0.9","0.9"
